epoch,accuracy,loss,val_accuracy,val_loss
0,0.5187353491783142,14.071290016174316,0.5315789580345154,2.1052772998809814
1,0.6165105104446411,1.7927470207214355,0.5684210658073425,1.400107979774475
2,0.6662763357162476,0.9923550486564636,0.6000000238418579,1.1865602731704712
3,0.6861826777458191,0.9123647212982178,0.5105262994766235,1.5130444765090942
4,0.7148711681365967,0.7134109139442444,0.621052622795105,1.0580744743347168
5,0.7470725774765015,0.6161860227584839,0.6368421316146851,1.031766414642334
6,0.7722482681274414,0.5524431467056274,0.5842105150222778,1.0544968843460083
7,0.7810304164886475,0.49736419320106506,0.6052631735801697,1.0376874208450317
8,0.7874706983566284,0.4899631142616272,0.6052631735801697,1.095542073249817
9,0.8097189664840698,0.43777498602867126,0.5842105150222778,1.2090883255004883
10,0.7968384027481079,0.4294930398464203,0.6578947305679321,0.9596319198608398
11,0.8378220200538635,0.38349711894989014,0.6263157725334167,1.033973217010498
12,0.8261123895645142,0.39557260274887085,0.6578947305679321,0.9653643369674683
13,0.8577283620834351,0.32110393047332764,0.6947368383407593,0.9466634392738342
14,0.8717798590660095,0.3106137216091156,0.6473684310913086,1.0452849864959717
15,0.8735362887382507,0.29561376571655273,0.6526315808296204,0.9549570083618164
16,0.8829039931297302,0.2817748785018921,0.6421052813529968,1.0364305973052979
17,0.8957845568656921,0.26643046736717224,0.678947389125824,0.9196699261665344
18,0.9033957719802856,0.25454598665237427,0.6578947305679321,0.9580988883972168
19,0.9156908392906189,0.22922463715076447,0.7105262875556946,0.910172164440155
20,0.921545684337616,0.2228580266237259,0.6631578803062439,0.9436356425285339
21,0.9238876104354858,0.21518824994564056,0.6631578803062439,0.9582505226135254
22,0.9350116848945618,0.20268107950687408,0.699999988079071,0.9080870151519775
23,0.9414519667625427,0.19278180599212646,0.6947368383407593,0.9134230613708496
24,0.9478922486305237,0.18564461171627045,0.6578947305679321,0.9715404510498047
25,0.9531615972518921,0.17626313865184784,0.6947368383407593,0.9017605185508728
26,0.9414519667625427,0.17884694039821625,0.6684210300445557,0.9317694306373596
27,0.9549180269241333,0.17022894322872162,0.699999988079071,0.9027292132377625
28,0.9478922486305237,0.16772137582302094,0.6736842393875122,0.9230164885520935
29,0.9672130942344666,0.1524433046579361,0.6684210300445557,0.9478168487548828
