epoch,accuracy,loss,val_accuracy,val_loss
0,0.5087822079658508,nan,0.5368421077728271,nan
1,0.5011709332466125,nan,0.5368421077728271,nan
2,0.5011709332466125,nan,0.5368421077728271,nan
3,0.5011709332466125,nan,0.5368421077728271,nan
4,0.5011709332466125,nan,0.5368421077728271,nan
5,0.5011709332466125,nan,0.5368421077728271,nan
6,0.5011709332466125,nan,0.5368421077728271,nan
7,0.5011709332466125,nan,0.5368421077728271,nan
8,0.5011709332466125,nan,0.5368421077728271,nan
9,0.5011709332466125,nan,0.5368421077728271,nan
10,0.5011709332466125,nan,0.5368421077728271,nan
11,0.5011709332466125,nan,0.5368421077728271,nan
12,0.5011709332466125,nan,0.5368421077728271,nan
13,0.5011709332466125,nan,0.5368421077728271,nan
14,0.5011709332466125,nan,0.5368421077728271,nan
15,0.5011709332466125,nan,0.5368421077728271,nan
16,0.5011709332466125,nan,0.5368421077728271,nan
17,0.5011709332466125,nan,0.5368421077728271,nan
18,0.5011709332466125,nan,0.5368421077728271,nan
19,0.5011709332466125,nan,0.5368421077728271,nan
20,0.5011709332466125,nan,0.5368421077728271,nan
21,0.5011709332466125,nan,0.5368421077728271,nan
22,0.5011709332466125,nan,0.5368421077728271,nan
23,0.5011709332466125,nan,0.5368421077728271,nan
24,0.5011709332466125,nan,0.5368421077728271,nan
25,0.5011709332466125,nan,0.5368421077728271,nan
26,0.5011709332466125,nan,0.5368421077728271,nan
27,0.5011709332466125,nan,0.5368421077728271,nan
28,0.5011709332466125,nan,0.5368421077728271,nan
29,0.5011709332466125,nan,0.5368421077728271,nan
