epoch,accuracy,loss,val_accuracy,val_loss
0,0.5456674695014954,0.7045056819915771,0.5736842155456543,0.6765277981758118
1,0.6118267178535461,0.658168613910675,0.6157894730567932,0.6565330624580383
2,0.6381732821464539,0.639154314994812,0.5894736647605896,0.6807165741920471
3,0.6539812684059143,0.6232244968414307,0.6368421316146851,0.6492462754249573
4,0.6826698184013367,0.6067457795143127,0.6157894730567932,0.6494744420051575
5,0.6932084560394287,0.5962150692939758,0.6052631735801697,0.6794704794883728
6,0.6896955370903015,0.5869723558425903,0.6368421316146851,0.6441779136657715
7,0.699063241481781,0.5828094482421875,0.6315789222717285,0.6400756239891052
8,0.709601879119873,0.5686385631561279,0.6315789222717285,0.6569748520851135
9,0.6996487379074097,0.5729017853736877,0.6315789222717285,0.6482936143875122
10,0.7183840870857239,0.5588535666465759,0.6473684310913086,0.6331434845924377
11,0.7324355840682983,0.5453954935073853,0.6368421316146851,0.6276845932006836
12,0.7365339398384094,0.540023684501648,0.6368421316146851,0.6346461772918701
13,0.7412177920341492,0.5351709723472595,0.6368421316146851,0.6476643085479736
14,0.7400468587875366,0.5312102437019348,0.6368421316146851,0.6509546637535095
15,0.7570257782936096,0.5281091928482056,0.6368421316146851,0.6278595924377441
16,0.7459016442298889,0.5261638760566711,0.6473684310913086,0.6180289387702942
17,0.7652224898338318,0.5060452818870544,0.6526315808296204,0.6646252870559692
18,0.7441452145576477,0.5208281874656677,0.6000000238418579,0.715635359287262
19,0.7470725774765015,0.5328348278999329,0.6421052813529968,0.6204405426979065
20,0.7740046977996826,0.49073705077171326,0.6368421316146851,0.6294720768928528
21,0.7658079862594604,0.49873363971710205,0.6578947305679321,0.6571698784828186
22,0.7693208456039429,0.5027456283569336,0.6000000238418579,0.7130256295204163
23,0.7804449796676636,0.4809531271457672,0.6368421316146851,0.6274553537368774
24,0.7880561947822571,0.46937689185142517,0.6736842393875122,0.6065468788146973
25,0.7769320607185364,0.48970115184783936,0.6842105388641357,0.597428023815155
26,0.7974238991737366,0.46387508511543274,0.6368421316146851,0.6413099765777588
27,0.7962529063224792,0.46216538548469543,0.6736842393875122,0.6077340841293335
28,0.8062061071395874,0.4463876783847809,0.6842105388641357,0.6000226736068726
29,0.7921545505523682,0.4531572461128235,0.6473684310913086,0.627300500869751
30,0.8108899593353271,0.4425966143608093,0.6947368383407593,0.5919034481048584
31,0.8079625368118286,0.44015681743621826,0.6842105388641357,0.5869362950325012
32,0.8085480332374573,0.430531769990921,0.621052622795105,0.7136338353157043
33,0.8103044629096985,0.4310854971408844,0.5842105150222778,0.7729257941246033
34,0.7974238991737366,0.43852952122688293,0.699999988079071,0.5794678330421448
35,0.8120608925819397,0.4287974536418915,0.699999988079071,0.5812896490097046
36,0.8325526714324951,0.40978121757507324,0.7210526466369629,0.5914598703384399
37,0.8225995302200317,0.42852067947387695,0.6947368383407593,0.5747219920158386
38,0.8261123895645142,0.4190634787082672,0.6578947305679321,0.6250045895576477
39,0.8208431005477905,0.42069175839424133,0.7105262875556946,0.5857489109039307
40,0.8448477983474731,0.38755545020103455,0.6631578803062439,0.620050847530365
41,0.817915678024292,0.4174569249153137,0.7052631378173828,0.5690094232559204
42,0.8372365236282349,0.39236021041870117,0.7105262875556946,0.5695565342903137
43,0.817915678024292,0.41652002930641174,0.6315789222717285,0.6988261938095093
44,0.8548009395599365,0.373470664024353,0.6526315808296204,0.6381003856658936
45,0.8313817381858826,0.39871037006378174,0.6578947305679321,0.6319535970687866
46,0.8425058722496033,0.37437254190444946,0.699999988079071,0.5833223462104797
47,0.8378220200538635,0.3701344430446625,0.7210526466369629,0.5635994076728821
48,0.8594847917556763,0.35713991522789,0.7315789461135864,0.5655897259712219
49,0.8483606576919556,0.36145126819610596,0.7052631378173828,0.5736916065216064
